Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,73.0,1.0,1.0,2022-09-11,LAC,,LVR,"W, 24-19",*,14,36,0,2.6,4,4,36,9.0,0,100.0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,49.3,0,0.0,0,0.0,ekelau00,2022,ekelau00_2022_gamelog.csv
2.0,74.0,2.0,2.0,2022-09-15,LAC,@,KAN,"L, 24-27",*,14,39,0,2.8,10,9,55,6.1,0,90.0,5.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,62.7,0,0.0,0,0.0,ekelau00,2022,ekelau00_2022_gamelog.csv
3.0,75.0,3.0,3.0,2022-09-25,LAC,,JAX,"L, 10-38",*,4,5,0,1.3,8,8,48,6.0,0,100.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,55.7,0,0.0,0,0.0,ekelau00,2022,ekelau00_2022_gamelog.csv
4.0,76.0,4.0,4.0,2022-10-02,LAC,@,HOU,"W, 34-24",*,13,60,2,4.6,7,6,49,8.2,1,85.7,7.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,41,58.6,0,0.0,0,0.0,ekelau00,2022,ekelau00_2022_gamelog.csv
5.0,77.0,5.0,5.0,2022-10-09,LAC,@,CLE,"W, 30-28",*,16,173,1,10.8,4,4,26,6.5,1,100.0,6.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,59.2,0,0.0,0,0.0,ekelau00,2022,ekelau00_2022_gamelog.csv
6.0,78.0,6.0,6.0,2022-10-17,LAC,,DEN,"W, 19-16 (OT)",*,14,36,1,2.6,16,10,47,4.7,0,62.5,2.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,61,65.6,0,0.0,0,0.0,ekelau00,2022,ekelau00_2022_gamelog.csv
7.0,79.0,7.0,7.0,2022-10-23,LAC,,SEA,"L, 23-37",*,9,31,1,3.4,12,12,96,8.0,1,100.0,8.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,55,77.5,0,0.0,0,0.0,ekelau00,2022,ekelau00_2022_gamelog.csv
8.0,80.0,8.0,9.0,2022-11-06,LAC,@,ATL,"W, 20-17",*,14,47,1,3.4,8,7,24,3.4,1,87.5,3.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,47,68.1,0,0.0,0,0.0,ekelau00,2022,ekelau00_2022_gamelog.csv
9.0,81.0,9.0,10.0,2022-11-13,LAC,@,SFO,"L, 16-22",*,6,24,0,4.0,12,7,39,5.6,0,58.3,3.3,0.0,1,1,0,0,0,0,0,0,0,0,0,0,40,69.0,0,0.0,0,0.0,ekelau00,2022,ekelau00_2022_gamelog.csv
10.0,82.0,10.0,11.0,2022-11-20,LAC,,KAN,"L, 27-30",*,19,83,1,4.4,2,2,17,8.5,0,100.0,8.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,69.2,0,0.0,0,0.0,ekelau00,2022,ekelau00_2022_gamelog.csv
11.0,83.0,11.0,12.0,2022-11-27,LAC,@,ARI,"W, 25-24",*,5,20,0,4.0,15,11,60,5.5,1,73.3,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,69.7,0,0.0,0,0.0,ekelau00,2022,ekelau00_2022_gamelog.csv
12.0,84.0,12.0,13.0,2022-12-04,LAC,@,LVR,"L, 20-27",*,10,35,0,3.5,6,5,67,13.4,0,83.3,11.2,0.0,0,0,0,0,0,0,1,1,0,0,0,0,45,60.0,0,0.0,0,0.0,ekelau00,2022,ekelau00_2022_gamelog.csv
13.0,85.0,13.0,14.0,2022-12-11,LAC,,MIA,"W, 23-17",*,15,45,1,3.0,8,8,59,7.4,0,100.0,7.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,58.8,0,0.0,0,0.0,ekelau00,2022,ekelau00_2022_gamelog.csv
14.0,86.0,14.0,15.0,2022-12-18,LAC,,TEN,"W, 17-14",*,12,58,1,4.8,3,2,12,6.0,0,66.7,4.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,49,69.0,0,0.0,0,0.0,ekelau00,2022,ekelau00_2022_gamelog.csv
15.0,87.0,15.0,16.0,2022-12-26,LAC,@,IND,"W, 20-3",*,18,67,2,3.7,4,4,12,3.0,0,100.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,41,60.3,0,0.0,0,0.0,ekelau00,2022,ekelau00_2022_gamelog.csv
16.0,88.0,16.0,17.0,2023-01-01,LAC,,LAR,"W, 31-10",*,10,122,2,12.2,4,4,39,9.8,0,100.0,9.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,28,43.8,0,0.0,0,0.0,ekelau00,2022,ekelau00_2022_gamelog.csv
17.0,89.0,17.0,18.0,2023-01-08,LAC,@,DEN,"L, 28-31",*,11,34,0,3.1,4,4,36,9.0,0,100.0,9.0,0.0,2,2,0,0,0,0,1,1,0,0,0,0,33,48.5,0,0.0,0,0.0,ekelau00,2022,ekelau00_2022_gamelog.csv
