Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1.0,18.0,1.0,1.0,2023-09-10,JAX,@,IND,"W, 31-21",*,18,77,1,4.3,5,5,27,5.4,0,100.0,5.4,56,80.0,0,0.0,0,0.0,etietr00,2023,etietr00_2023_gamelog.csv
2.0,19.0,2.0,2.0,2023-09-17,JAX,,KAN,"L, 9-17",*,12,40,0,3.3,3,2,2,1.0,0,66.7,0.7,48,71.6,0,0.0,0,0.0,etietr00,2023,etietr00_2023_gamelog.csv
3.0,20.0,3.0,3.0,2023-09-24,JAX,,HOU,"L, 17-37",*,19,88,0,4.6,5,4,50,12.5,0,80.0,10.0,52,71.2,0,0.0,0,0.0,etietr00,2023,etietr00_2023_gamelog.csv
4.0,21.0,4.0,4.0,2023-10-01,JAX,,ATL,"W, 23-7",*,20,55,0,2.8,3,3,17,5.7,0,100.0,5.7,56,84.8,0,0.0,0,0.0,etietr00,2023,etietr00_2023_gamelog.csv
5.0,22.0,5.0,5.0,2023-10-08,JAX,@,BUF,"W, 25-20",*,26,136,2,5.2,5,4,48,12.0,0,80.0,9.6,73,83.0,0,0.0,0,0.0,etietr00,2023,etietr00_2023_gamelog.csv
6.0,23.0,6.0,6.0,2023-10-15,JAX,,IND,"W, 37-20",*,18,55,2,3.1,3,3,28,9.3,0,100.0,9.3,51,79.7,0,0.0,0,0.0,etietr00,2023,etietr00_2023_gamelog.csv
7.0,24.0,7.0,7.0,2023-10-19,JAX,@,NOR,"W, 31-24",*,14,53,2,3.8,5,3,24,8.0,0,60.0,4.8,49,87.5,0,0.0,0,0.0,etietr00,2023,etietr00_2023_gamelog.csv
8.0,25.0,8.0,8.0,2023-10-29,JAX,@,PIT,"W, 20-10",*,24,79,0,3.3,6,3,70,23.3,1,50.0,11.7,63,88.7,0,0.0,0,0.0,etietr00,2023,etietr00_2023_gamelog.csv
9.0,26.0,9.0,10.0,2023-11-12,JAX,,SFO,"L, 3-34",*,9,35,0,3.9,4,2,9,4.5,0,50.0,2.3,35,61.4,0,0.0,0,0.0,etietr00,2023,etietr00_2023_gamelog.csv
10.0,27.0,10.0,11.0,2023-11-19,JAX,,TEN,"W, 34-14",*,14,52,0,3.7,3,3,7,2.3,0,100.0,2.3,47,66.2,0,0.0,0,0.0,etietr00,2023,etietr00_2023_gamelog.csv
11.0,28.0,11.0,12.0,2023-11-26,JAX,@,HOU,"W, 24-21",*,20,56,0,2.8,6,4,30,7.5,0,66.7,5.0,47,61.8,0,0.0,0,0.0,etietr00,2023,etietr00_2023_gamelog.csv
12.0,29.0,12.0,13.0,2023-12-04,JAX,,CIN,"L, 31-34 (OT)",*,11,45,1,4.1,4,4,34,8.5,0,100.0,8.5,43,62.3,0,0.0,0,0.0,etietr00,2023,etietr00_2023_gamelog.csv
13.0,30.0,13.0,14.0,2023-12-10,JAX,@,CLE,"L, 27-31",*,14,35,1,2.5,4,4,37,9.3,0,100.0,9.3,59,77.6,0,0.0,0,0.0,etietr00,2023,etietr00_2023_gamelog.csv
14.0,31.0,14.0,15.0,2023-12-17,JAX,,BAL,"L, 7-23",*,10,31,0,3.1,6,4,28,7.0,0,66.7,4.7,43,69.4,0,0.0,0,0.0,etietr00,2023,etietr00_2023_gamelog.csv
15.0,32.0,15.0,16.0,2023-12-24,JAX,@,TAM,"L, 12-30",*,6,12,0,2.0,3,3,19,6.3,0,100.0,6.3,48,72.7,0,0.0,0,0.0,etietr00,2023,etietr00_2023_gamelog.csv
16.0,33.0,16.0,17.0,2023-12-31,JAX,,CAR,"W, 26-0",*,16,102,2,6.4,2,2,16,8.0,0,100.0,8.0,39,61.9,0,0.0,0,0.0,etietr00,2023,etietr00_2023_gamelog.csv
17.0,34.0,17.0,18.0,2024-01-07,JAX,@,TEN,"L, 20-28",*,16,57,0,3.6,6,5,30,6.0,0,83.3,5.0,47,66.2,0,0.0,0,0.0,etietr00,2023,etietr00_2023_gamelog.csv
