Rk,Gcar,Gtm,Week,Date,Team,col_6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Yds,TD,Int,Sk,Yds,Fmb,FL,FF,FR,Yds,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1,75,1,1,2024-09-06,PHI,,GNB,"W, 34-29",*,24,109,2,4.5,2,2,23,11.5,1,100.0,11.5,0,0,0,0,0,0,0,0,0,0,1,0,0,61,80.3,0,0.0,0,0.0,barksa00,2024,barksa00_2024_gamelog.csv
2,76,2,2,2024-09-16,PHI,,ATL,"L, 21-22",*,22,95,0,4.3,5,4,21,5.3,0,80.0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,64,90.1,0,0.0,0,0.0,barksa00,2024,barksa00_2024_gamelog.csv
3,77,3,3,2024-09-22,PHI,@,NOR,"W, 15-12",*,17,147,2,8.6,4,4,9,2.3,0,100.0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,58,80.6,0,0.0,0,0.0,barksa00,2024,barksa00_2024_gamelog.csv
4,78,4,4,2024-09-29,PHI,@,TAM,"L, 16-33",*,10,84,0,8.4,4,2,32,16.0,0,50.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,56.1,0,0.0,0,0.0,barksa00,2024,barksa00_2024_gamelog.csv
5,79,5,6,2024-10-13,PHI,,CLE,"W, 20-16",*,18,47,0,2.6,2,2,7,3.5,0,100.0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,49,79.0,0,0.0,0,0.0,barksa00,2024,barksa00_2024_gamelog.csv
6,80,6,7,2024-10-20,PHI,@,NYG,"W, 28-3",*,17,176,1,10.4,3,2,11,5.5,0,66.7,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,35,53.0,0,0.0,0,0.0,barksa00,2024,barksa00_2024_gamelog.csv
7,81,7,8,2024-10-27,PHI,@,CIN,"W, 37-17",*,22,108,0,4.9,1,1,3,3.0,0,100.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,82.0,0,0.0,0,0.0,barksa00,2024,barksa00_2024_gamelog.csv
8,82,8,9,2024-11-03,PHI,,JAX,"W, 28-23",*,27,159,1,5.9,4,3,40,13.3,1,75.0,10.0,0,0,0,0,0,0,0,1,1,0,0,0,0,57,72.2,0,0.0,0,0.0,barksa00,2024,barksa00_2024_gamelog.csv
9,83,9,10,2024-11-10,PHI,@,DAL,"W, 34-6",*,14,66,0,4.7,1,1,12,12.0,0,100.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,51.5,0,0.0,0,0.0,barksa00,2024,barksa00_2024_gamelog.csv
10,84,10,11,2024-11-14,PHI,,WAS,"W, 26-18",*,26,146,2,5.6,3,2,52,26.0,0,66.7,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,58,81.7,0,0.0,0,0.0,barksa00,2024,barksa00_2024_gamelog.csv
11,85,11,12,2024-11-24,PHI,@,LAR,"W, 37-20",*,26,255,2,9.8,4,4,47,11.8,0,100.0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,50,68.5,0,0.0,0,0.0,barksa00,2024,barksa00_2024_gamelog.csv
12,86,12,13,2024-12-01,PHI,@,BAL,"W, 24-19",*,23,107,1,4.7,4,2,10,5.0,0,50.0,2.5,0,0,0,0,0,0,0,1,0,0,1,0,0,49,87.5,0,0.0,0,0.0,barksa00,2024,barksa00_2024_gamelog.csv
13,87,13,14,2024-12-08,PHI,,CAR,"W, 22-16",*,20,124,0,6.2,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,75.9,0,0.0,0,0.0,barksa00,2024,barksa00_2024_gamelog.csv
14,88,14,15,2024-12-15,PHI,,PIT,"W, 27-13",*,19,65,0,3.4,2,2,9,4.5,0,100.0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,49,61.3,0,0.0,0,0.0,barksa00,2024,barksa00_2024_gamelog.csv
15,89,15,16,2024-12-22,PHI,@,WAS,"L, 33-36",*,29,150,2,5.2,1,0,0,,0,0.0,0.0,0,0,0,0,0,1,2,0,0,0,0,0,0,61,82.4,0,0.0,0,0.0,barksa00,2024,barksa00_2024_gamelog.csv
16,90,16,17,2024-12-29,PHI,,DAL,"W, 41-7",*,31,167,0,5.4,2,2,2,1.0,0,100.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,75.4,0,0.0,0,0.0,barksa00,2024,barksa00_2024_gamelog.csv
16,,17,18,2025-01-05,PHI,,NYG,"W, 20-13",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,barksa00,2024,barksa00_2024_gamelog.csv
,,,,,,,,13-3,,345,2005,13,5.8,43,33,278,8.4,2,76.7,6.5,0,0,0,0,0,1,2,2,1,0,2,0,0,801,73.6,0,0.0,0,0.0,barksa00,2024,barksa00_2024_gamelog.csv
