Rk,Gcar,Gtm,Week,Date,Team,col_6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%,player_id,season,source_file
1,35,1,1,2024-09-08,JAX,@,MIA,"L, 17-20",*,12,44,1,3.7,3,2,15,7.5,0,66.7,5.0,1,1,0,0,0,0,37,69.8,0,0.0,0,0.0,etietr00,2024,etietr00_2024_gamelog.csv
2,36,2,2,2024-09-15,JAX,,CLE,"L, 13-18",*,13,52,1,4.0,4,3,6,2.0,0,75.0,1.5,0,0,0,0,0,0,43,71.7,0,0.0,0,0.0,etietr00,2024,etietr00_2024_gamelog.csv
3,37,3,3,2024-09-23,JAX,@,BUF,"L, 10-47",*,11,68,0,6.2,6,4,17,4.3,0,66.7,2.8,0,0,0,0,0,0,49,69.0,0,0.0,0,0.0,etietr00,2024,etietr00_2024_gamelog.csv
4,38,4,4,2024-09-29,JAX,@,HOU,"L, 20-24",*,11,50,0,4.5,2,1,10,10.0,0,50.0,5.0,0,0,0,1,0,0,30,51.7,0,0.0,0,0.0,etietr00,2024,etietr00_2024_gamelog.csv
5,39,5,5,2024-10-06,JAX,,IND,"W, 37-34",*,6,17,0,2.8,7,6,43,7.2,0,85.7,6.1,0,0,0,0,0,0,22,37.9,0,0.0,0,0.0,etietr00,2024,etietr00_2024_gamelog.csv
6,40,6,6,2024-10-13,JAX,@,CHI,"L, 16-35",*,3,-1,0,-0.3,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,11,17.7,0,0.0,0,0.0,etietr00,2024,etietr00_2024_gamelog.csv
6,,7,7,2024-10-20,JAX,,NWE,"W, 32-16",Inactive,,,,,,,,,,,,,,,,,,,,,,,,etietr00,2024,etietr00_2024_gamelog.csv
6,,8,8,2024-10-27,JAX,,GNB,"L, 27-30",Inactive,,,,,,,,,,,,,,,,,,,,,,,,etietr00,2024,etietr00_2024_gamelog.csv
7,41,9,9,2024-11-03,JAX,@,PHI,"L, 23-28",*,3,24,0,8.0,3,2,6,3.0,0,66.7,2.0,0,0,0,0,0,0,17,31.5,0,0.0,0,0.0,etietr00,2024,etietr00_2024_gamelog.csv
8,42,10,10,2024-11-10,JAX,,MIN,"L, 7-12",*,11,44,0,4.0,1,1,-1,-1.0,0,100.0,-1.0,0,0,0,0,0,0,30,68.2,0,0.0,0,0.0,etietr00,2024,etietr00_2024_gamelog.csv
9,43,11,11,2024-11-17,JAX,@,DET,"L, 6-52",*,12,27,0,2.3,3,3,6,2.0,0,100.0,2.0,0,0,0,0,0,0,36,75.0,0,0.0,0,0.0,etietr00,2024,etietr00_2024_gamelog.csv
10,44,12,13,2024-12-01,JAX,,HOU,"L, 20-23",*,13,46,0,3.5,3,3,12,4.0,0,100.0,4.0,0,0,0,0,0,0,37,52.9,0,0.0,0,0.0,etietr00,2024,etietr00_2024_gamelog.csv
11,45,13,14,2024-12-08,JAX,@,TEN,"W, 10-6",*,4,20,0,5.0,4,4,50,12.5,0,100.0,12.5,0,0,0,0,0,0,28,47.5,0,0.0,0,0.0,etietr00,2024,etietr00_2024_gamelog.csv
12,46,14,15,2024-12-15,JAX,,NYJ,"L, 25-32",*,14,65,0,4.6,5,4,20,5.0,0,80.0,4.0,0,0,0,0,0,0,61,72.6,0,0.0,0,0.0,etietr00,2024,etietr00_2024_gamelog.csv
13,47,15,16,2024-12-22,JAX,@,LVR,"L, 14-19",*,9,22,0,2.4,3,2,15,7.5,0,66.7,5.0,0,0,0,0,0,0,35,52.2,0,0.0,0,0.0,etietr00,2024,etietr00_2024_gamelog.csv
14,48,16,17,2024-12-29,JAX,,TEN,"W, 20-13",*,15,49,0,3.3,2,1,26,26.0,0,50.0,13.0,0,0,0,0,0,0,28,48.3,0,0.0,0,0.0,etietr00,2024,etietr00_2024_gamelog.csv
15,49,17,18,2025-01-05,JAX,@,IND,"L, 23-26 (OT)",*,13,31,0,2.4,5,3,29,9.7,0,60.0,5.8,0,0,0,0,0,0,30,43.5,0,0.0,0,0.0,etietr00,2024,etietr00_2024_gamelog.csv
,,,,,,,,3-12,,150,558,2,3.7,52,39,254,6.5,0,75.0,4.9,1,1,0,1,0,0,494,54.0,0,0.0,0,0.0,etietr00,2024,etietr00_2024_gamelog.csv
