"","Rushing","Receiving","Passing","","Tackles","","Fumbles","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Cmp","Att","Cmp%","Yds","TD","Int","Y/A","AY/A","Rate","Sk","Yds","Sk","Comb","Solo","Ast","TFL","QBHits","Sfty","Fmb","FL","FF","FR","Yds","FRTD","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","18","1","1","2022-09-11","PIT","@","CIN","W, 23-20 (OT)","*","10","23","0","2.3","2","2","3","1.5","1","100.0","1.5","0","0","","0","0","0","","","","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","37","58.7","0","0.0","0","0.0"
"2","19","2","2","2022-09-18","PIT","","NWE","L, 14-17","*","15","49","0","3.3","6","5","40","8.0","0","83.3","6.7","0","0","","0","0","0","","","","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","42","71.2","0","0.0","0","0.0"
"3","20","3","3","2022-09-22","PIT","@","CLE","L, 17-29","*","15","56","1","3.7","3","3","5","1.7","0","100.0","1.7","0","0","","0","0","0","","","","0","0","0.0","0","0","0","0","0","0","1","1","0","0","0","0","47","79.7","0","0.0","0","0.0"
"4","21","4","4","2022-10-02","PIT","","NYJ","L, 20-24","*","18","74","0","4.1","0","0","0","","0","","","0","0","","0","0","0","","","","0","0","0.0","1","1","0","0","0","0","0","0","0","0","0","0","48","75.0","0","0.0","0","0.0"
"5","22","5","5","2022-10-09","PIT","@","BUF","L, 3-38","*","11","20","0","1.8","4","3","16","5.3","0","75.0","4.0","0","0","","0","0","0","","","","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","37","49.3","0","0.0","0","0.0"
"6","23","6","6","2022-10-16","PIT","","TAM","W, 20-18","*","14","42","0","3.0","3","2","7","3.5","1","66.7","2.3","0","0","","0","0","0","","","","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","44","68.8","0","0.0","0","0.0"
"7","24","7","7","2022-10-23","PIT","@","MIA","L, 10-16","*","17","65","0","3.8","4","3","15","5.0","0","75.0","3.8","0","0","","0","0","0","","","","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","58","77.3","0","0.0","0","0.0"
"8","25","8","8","2022-10-30","PIT","@","PHI","L, 13-35","*","8","32","0","4.0","6","6","26","4.3","0","100.0","4.3","1","1","100.0","4","0","0","4.0","4.00","83.3","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","54","71.1","0","0.0","0","0.0"
"9","26","9","10","2022-11-13","PIT","","NOR","W, 20-10","*","20","99","0","5.0","1","0","0","","0","0.0","0.0","0","0","","0","0","0","","","","0","0","0.0","0","0","0","0","0","0","1","0","0","0","0","0","50","59.5","0","0.0","0","0.0"
"10","27","10","11","2022-11-20","PIT","","CIN","L, 30-37","*","20","90","2","4.5","6","4","26","6.5","0","66.7","4.3","0","0","","0","0","0","","","","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","67","91.8","0","0.0","0","0.0"
"11","28","11","12","2022-11-28","PIT","@","IND","W, 24-17","*","10","35","1","3.5","1","1","4","4.0","0","100.0","4.0","0","0","","0","0","0","","","","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","20","29.0","0","0.0","0","0.0"
"12","29","12","13","2022-12-04","PIT","@","ATL","W, 19-16","*","17","86","0","5.1","1","1","6","6.0","0","100.0","6.0","0","0","","0","0","0","","","","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","43","66.2","0","0.0","0","0.0"
"13","30","13","14","2022-12-11","PIT","","BAL","L, 14-16","*","12","33","1","2.8","3","2","17","8.5","0","66.7","5.7","0","0","","0","0","0","","","","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","31","56.4","0","0.0","0","0.0"
"14","31","14","15","2022-12-18","PIT","@","CAR","W, 24-16","*","24","86","1","3.6","0","0","0","","0","","","0","0","","0","0","0","","","","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","45","66.2","0","0.0","1","4.0"
"15","32","15","16","2022-12-24","PIT","","LVR","W, 13-10","*","16","53","0","3.3","9","6","42","7.0","0","66.7","4.7","0","0","","0","0","0","","","","0","0","0.0","1","1","0","0","0","0","0","0","0","0","0","0","49","72.1","0","0.0","0","0.0"
"16","33","16","17","2023-01-01","PIT","@","BAL","W, 16-13","*","22","111","0","5.0","3","2","12","6.0","1","66.7","4.0","0","0","","0","0","0","","","","0","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","45","64.3","0","0.0","0","0.0"
"17","34","17","18","2023-01-08","PIT","","CLE","W, 28-14","*","23","80","1","3.5","1","1","10","10.0","0","100.0","10.0","0","0","","0","0","0","","","","0","0","0.0","0","0","0","0","0","0","1","1","0","0","0","0","46","63.0","0","0.0","0","0.0"
"","","","","","","","","9-8","","272","1034","7","3.8","53","41","229","5.6","3","77.4","4.3","1","1","100.0","4","0","0","4.0","4.00","83.3","0","0","0.0","2","2","0","0","0","0","3","2","0","0","0","0","763","65.8","0","0.0","1","0.2"
