"","Rushing","Receiving","","Tackles","","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Sk","Comb","Solo","Ast","TFL","QBHits","Sfty","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","47","1","1","2022-09-11","DAL","","TAM","L, 3-19","*","6","8","0","1.3","2","2","14","7.0","0","100.0","7.0","0.0","1","1","0","0","0","0","38","55.1","0","0.0","2","8.3"
"2","48","2","2","2022-09-18","DAL","","CIN","W, 20-17","","9","43","1","4.8","7","4","55","13.8","0","57.1","7.9","0.0","0","0","0","0","0","0","24","39.3","0","0.0","0","0.0"
"3","49","3","3","2022-09-26","DAL","@","NYG","W, 23-16","","13","105","0","8.1","1","0","0","","0","0.0","0.0","0.0","0","0","0","0","0","0","28","43.8","0","0.0","1","3.4"
"4","50","4","4","2022-10-02","DAL","","WAS","W, 25-10","","8","6","0","0.8","3","1","2","2.0","0","33.3","0.7","0.0","0","0","0","0","0","0","24","39.3","0","0.0","2","6.7"
"5","51","5","5","2022-10-09","DAL","@","LAR","W, 22-10","","8","86","1","10.8","0","0","0","","0","","","0.0","0","0","0","0","0","0","23","41.8","0","0.0","0","0.0"
"6","52","6","6","2022-10-16","DAL","@","PHI","L, 17-26","","11","44","0","4.0","3","2","8","4.0","0","66.7","2.7","0.0","0","0","0","0","0","0","27","40.3","0","0.0","0","0.0"
"7","53","7","7","2022-10-23","DAL","","DET","W, 24-6","","12","83","0","6.9","2","2","26","13.0","0","100.0","13.0","0.0","0","0","0","0","0","0","41","65.1","0","0.0","0","0.0"
"8","54","8","8","2022-10-30","DAL","","CHI","W, 49-29","*","14","131","3","9.4","1","1","16","16.0","0","100.0","16.0","0.0","0","0","0","0","0","0","31","53.4","0","0.0","0","0.0"
"9","55","9","10","2022-11-13","DAL","@","GNB","L, 28-31 (OT)","*","22","115","1","5.2","6","3","13","4.3","0","50.0","2.2","0.0","0","0","0","0","0","0","72","86.7","0","0.0","0","0.0"
"10","56","10","11","2022-11-20","DAL","@","MIN","W, 40-3","","15","80","0","5.3","6","6","109","18.2","2","100.0","18.2","0.0","0","0","0","0","0","0","39","54.2","0","0.0","0","0.0"
"11","57","11","12","2022-11-24","DAL","","NYG","W, 28-20","","18","60","0","3.3","2","2","1","0.5","0","100.0","0.5","0.0","0","0","0","0","0","0","44","58.7","0","0.0","1","4.3"
"12","58","12","13","2022-12-04","DAL","","IND","W, 54-19","*","12","91","2","7.6","3","2","15","7.5","0","66.7","5.0","0.0","0","0","0","0","0","0","28","41.2","0","0.0","0","0.0"
"13","59","13","14","2022-12-11","DAL","","HOU","W, 27-23","","10","42","1","4.2","5","4","20","5.0","1","80.0","4.0","0.0","0","0","0","0","0","0","41","57.7","0","0.0","0","0.0"
"14","60","14","15","2022-12-18","DAL","@","JAX","L, 34-40 (OT)","","19","75","0","3.9","5","4","31","7.8","0","80.0","6.2","0.0","0","0","0","0","0","0","41","54.7","0","0.0","0","0.0"
"15","61","15","16","2022-12-24","DAL","","PHI","W, 40-34","","9","19","0","2.1","8","6","61","10.2","0","75.0","7.6","0.0","0","0","0","0","0","0","39","53.4","0","0.0","0","0.0"
"15","","16","17","2022-12-29","DAL","@","TEN","W, 27-13","Inactive"
"16","62","17","18","2023-01-08","DAL","@","WAS","L, 6-26","","7","19","0","2.7","1","0","0","","0","0.0","0.0","0.0","0","0","0","0","0","0","29","43.3","0","0.0","0","0.0"
"","","","","","","","","11-5","","193","1007","9","5.2","55","39","371","9.5","3","70.9","6.7","0.0","1","1","0","0","0","0","569","52.6","0","0.0","6","1.3"
