"","Rushing","Receiving","Passing","Fumbles","Snap Counts"
"Rk","Gcar","Gtm","Week","Date","Team","","Opp","Result","GS","Att","Yds","TD","Y/A","Tgt","Rec","Yds","Y/R","TD","Ctch%","Y/Tgt","Cmp","Att","Cmp%","Yds","TD","Int","Y/A","AY/A","Rate","Sk","Yds","Fmb","FL","FF","FR","Yds","FRTD","OffSnp","Off%","DefSnp","Def%","STSnp","ST%"
"1","103","1","1","2023-09-10","TEN","@","NOR","L, 15-16","*","15","63","0","4.2","3","2","56","28.0","0","66.7","18.7","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","30","47.6","0","0.0","0","0.0"
"2","104","2","2","2023-09-17","TEN","","LAC","W, 27-24 (OT)","*","25","80","1","3.2","4","3","15","5.0","0","75.0","3.8","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","46","70.8","0","0.0","0","0.0"
"3","105","3","3","2023-09-24","TEN","@","CLE","L, 3-27","*","11","20","0","1.8","0","0","0","","0","","","0","0","","0","0","0","","","","0","0","0","0","0","1","0","0","18","37.5","0","0.0","0","0.0"
"4","106","4","4","2023-10-01","TEN","","CIN","W, 27-3","*","22","122","1","5.5","1","1","11","11.0","0","100.0","11.0","1","1","100.0","2","1","0","2.0","22.00","118.7","0","0","0","0","0","0","0","0","39","59.1","0","0.0","0","0.0"
"5","107","5","5","2023-10-08","TEN","@","IND","L, 16-23","*","13","43","0","3.3","3","3","19","6.3","0","100.0","6.3","0","1","0.0","0","0","0","0.0","0.00","39.6","0","0","0","0","0","0","0","0","37","61.7","0","0.0","0","0.0"
"6","108","6","6","2023-10-15","TEN","","BAL","L, 16-24","*","12","97","1","8.1","2","2","16","8.0","0","100.0","8.0","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","29","52.7","0","0.0","0","0.0"
"7","109","7","8","2023-10-29","TEN","","ATL","W, 28-23","*","22","101","0","4.6","4","4","21","5.3","0","100.0","5.3","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","44","64.7","0","0.0","0","0.0"
"8","110","8","9","2023-11-02","TEN","@","PIT","L, 16-20","*","17","75","1","4.4","4","3","27","9.0","0","75.0","6.8","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","36","48.6","0","0.0","0","0.0"
"9","111","9","10","2023-11-12","TEN","@","TAM","L, 6-20","*","11","24","0","2.2","1","1","-4","-4.0","0","100.0","-4.0","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","27","42.9","0","0.0","0","0.0"
"10","112","10","11","2023-11-19","TEN","@","JAX","L, 14-34","*","10","38","0","3.8","2","1","6","6.0","0","50.0","3.0","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","25","62.5","0","0.0","0","0.0"
"11","113","11","12","2023-11-26","TEN","","CAR","W, 17-10","*","18","76","2","4.2","2","1","0","0.0","0","50.0","0.0","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","34","64.2","0","0.0","0","0.0"
"12","114","12","13","2023-12-03","TEN","","IND","L, 28-31 (OT)","*","21","102","2","4.9","2","1","18","18.0","0","50.0","9.0","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","34","40.0","0","0.0","0","0.0"
"13","115","13","14","2023-12-11","TEN","@","MIA","W, 28-27","*","17","34","2","2.0","2","1","17","17.0","0","50.0","8.5","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","34","47.9","0","0.0","0","0.0"
"14","116","14","15","2023-12-17","TEN","","HOU","L, 16-19 (OT)","*","16","9","0","0.6","4","4","1","0.3","0","100.0","0.3","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","34","54.0","0","0.0","0","0.0"
"15","117","15","16","2023-12-24","TEN","","SEA","L, 17-20","*","19","88","1","4.6","1","1","11","11.0","0","100.0","11.0","1","1","100.0","12","1","0","12.0","32.00","156.2","0","0","0","0","0","0","0","0","32","48.5","0","0.0","0","0.0"
"16","118","16","17","2023-12-31","TEN","@","HOU","L, 3-26","*","12","42","0","3.5","1","0","0","","0","0.0","0.0","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","23","41.8","0","0.0","0","0.0"
"17","119","17","18","2024-01-07","TEN","","JAX","W, 28-20","*","19","153","1","8.1","0","0","0","","0","","","0","0","","0","0","0","","","","0","0","0","0","0","0","0","0","36","65.5","0","0.0","0","0.0"
"","","","","","","","","6-11","","280","1167","12","4.2","36","28","214","7.6","0","77.8","5.9","2","3","66.7","14","2","0","4.7","18.00","116.7","0","0","0","0","0","1","0","0","558","53.1","0","0.0","0","0.0"
